Variable,Type,MainTest,p_main,p_welch,p_mw,ES,ES_name,p_fdr_main
EDSS,ordinal,MW,0.02949908795903109,0.055582407507554006,0.02949908795903109,0.23426573426573416,RankBiserial_r,0.03933211727870812
BPF,numeric,Welch,0.010982141800305514,0.010982141800305514,0.015382314586389648,-0.47428529502372774,Hedges_g,0.021964283600611027
lesion_load,numeric,MW,0.002095257491246854,0.0273197004397896,0.002095257491246854,0.33653846153846145,RankBiserial_r,0.008381029964987416
SDMT,numeric,MW,0.1083294571390455,0.19084646390693386,0.1083294571390455,-0.17569930069930073,RankBiserial_r,0.1083294571390455
